
                    
Bill period end date,Number of billing days,Average daily usage,Total usage for period,Amount,Solar export (units),CO2
17 Dec 2019,60,7.0,417,,282.000,409
18 Oct 2019,59,7.1,419,185.16,265.000,411
20 Aug 2019,60,7.5,452,165.45,141.000,443
21 Jun 2019,64,6.4,411,127.05,183.000,403
18 Apr 2019,59,5.8,342,57.35,270.000,335
18 Feb 2019,68,5.5,377,33.40,367.000,369
12 Dec 2018,56,5.5,306,29.55,295.000,300
17 Oct 2018,61,7.4,451,113.35,239.000,442
17 Aug 2018,58,9.3,537,190.50,127.000,526
20 Jun 2018,61,7.4,450,134.45,165.000,441
20 Apr 2018,64,6.3,401,55.45,303.000,393
15 Feb 2018,65,6.1,397,30.55,355.000,389
