"PVWatts: Monthly PV Performance Data"
"Requested Location:","Perth, australia"
"Location:","SWANBOURNE, AUSTRALIA"
"Lat (deg S):","31.95"
"Long (deg E):","115.77"
"Elev (m):","20"
"DC System Size (kW):","2.8"
"Module Type:","Standard"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","35"
"Array Azimuth (deg):","0"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","18.6"	

"Month","AC System Output(kWh)","Solar Radiation (kWh/m^2/day)","Plane of Array Irradiance (W/m^2)","DC array Output (kWh)","Value ($)"
"1","468.90667725","7.1782465","222.52563477","489.18954468","0.00"
"2","411.00598145","6.98428679","195.56002808","428.80947876","0.00"
"3","431.9382019","6.60750437","204.8326416","450.39984131","0.00"
"4","379.16699219","5.92087078","177.62612915","395.44003296","0.00"
"5","309.93435669","4.55931664","141.33882141","323.29504395","0.00"
"6","283.46038818","4.24598026","127.37940216","295.71191406","0.00"
"7","308.99551392","4.46004677","138.26144409","322.23062134","0.00"
"8","333.58972168","4.80419493","148.93003845","348.16415405","0.00"
"9","371.14993286","5.6422863","169.26858521","387.03295898","0.00"
"10","427.93515015","6.27401447","194.4944458","446.31066895","0.00"
"11","402.53253174","6.24021006","187.20629883","420.08343506","0.00"
"12","438.23382568","6.69430113","207.52333069","457.31292725","0.00"
"Total","4566.84927369","69.611259","2114.94680024","4763.98062135","0"
